question,ref,answer,option_a,option_b,option_c,option_d
"Uma empresa de engenharia de dados precisa configurar a replicação de dados entre dois buckets do Amazon S3. Qual é um pré-requisito fundamental que deve ser atendido em ambos os buckets (origem e destino) antes de habilitar a replicação?","03-030 Amazon S3 - Replication",A,"O controle de versão (versionamento) deve estar ativado em ambos os buckets.","Ambos os buckets devem estar localizados na mesma região da AWS.","O acesso público deve estar bloqueado em ambos os buckets.","A criptografia padrão deve estar desativada nos dois buckets."
"Qual o principal caso de uso para habilitar o SRR (Same-Region Replication) no Amazon S3?","03-030 Amazon S3 - Replication",B,"Fornecer acesso de menor latência para usuários globais em diferentes continentes.","Agregar de forma centralizada logs gerados por múltiplos S3 buckets na mesma região.","Atender a rigorosos testes de conformidade que exigem armazenamento de dados a uma distância de pelo menos 500 milhas físicas.","Fazer backup síncrono dos dados para recuperação de desastres."
"A replicação entre regiões (CRR) ou na mesma região (SRR) do Amazon S3 ocorre de forma síncrona.","03-030 Amazon S3 - Replication",B,Verdadeiro,Falso,,
"Uma corporação deseja replicar objetos de um bucket do Amazon S3 de produção para um bucket de ambiente de testes em tempo real na mesma região, visando manter o ambiente de homologação atualizado. Qual configuração melhor atende a esse requisito de engenharia de dados?","03-030 Amazon S3 - Replication",C,"CRR (Cross-Region Replication)","S3 Transfer Acceleration","SRR (Same-Region Replication)","AWS DataSync"
"Para que o serviço Amazon S3 realize a replicação de objetos da origem para o destino, o que é necessário configurar em termos de segurança e acesso?","03-030 Amazon S3 - Replication",B,"Chaves de acesso da AWS (Access Keys) de um root user inseridas nas configurações do bucket.","Políticas adequadas do IAM devem ser concedidas ao serviço S3 para permitir a leitura na origem e gravação no destino.","O Amazon Macie deve estar ativado para monitorar a transferência.","Regras do AWS WAF configuradas na borda dos buckets S3 envolvidos."
"Um engenheiro de dados configurou regras de replicação no S3 em um data lake arquitetado na AWS. Os dados podem ser replicados para um bucket de destino pertencente a uma conta AWS diferente da conta do bucket de origem?","03-030 Amazon S3 - Replication",A,Verdadeiro,Falso,,
"Qual das alternativas abaixo é um caso de uso válido e recomendado para configurar CRR (Cross-Region Replication) no S3 em um pipeline de Engenharia de Dados corporativo?","03-030 Amazon S3 - Replication",C,"Agregar registros (logs) de diferentes buckets de uma única região.","Garantir a replicação síncrona exigida por aplicações de altíssimo throughput transacional em uma única AWS Account.","Atender a requisitos rígidos de conformidade (compliance) governamental ou oferecer acesso de baixa latência global.","Executar replicação contínua entre buckets de classes Amazon EBS instalados em zonas distintas."
"A sua arquitetura de Data Lake na AWS utiliza o S3 para os dados brutos e você precisa garantir que consumidores de dados ao redor do mundo tenham a menor latência em leituras diretas sobre o do seu bucket primário. Qual recurso nativo do bucket AWS o ajudaria a resolver o problema posicionando cópias em localizações estratégicas?","03-030 Amazon S3 - Replication",D,"S3 Lifecycle Rules","AWS Glue Crawlers OAI","SRR (Same-Region Replication)","CRR (Cross-Region Replication)"
"Caso seja configurada uma regra de CRR (Cross-Region Replication) para cópia de dados entre us-east-1 e eu-west-1, a mecânica da replicação AWS exige que:","03-030 Amazon S3 - Replication",A,"As duas regiões utilizadas como origem e destino da replicação sejam diferentes.","A classe do bucket de destino seja obrigatoriamente Standard IA ou inferior.","A camada de processamento Amazon EMR esteja inativa durante o setup inicial da replicação.","O S3 Lifecycle Rules e as exclusões baseadas em MFA estejam obrigatoriamente ligados na origem."
"Em um cenário de troubleshooting de arquiteturas no AWS S3 onde uma regra de replicação entre buckets recém-criada (origem e destino) não parece estar sincronizando os novos objetos transferidos. Qual destas é a provável causa raiz que um Engenheiro de Dados deve verificar primeiramente?","03-030 Amazon S3 - Replication",C,"A ausência de configurações do AWS Backup para sincronismo.","O uso indevido de Multi-Part Upload pelo AWS Glue durante o estágio de transformações base.","A falta de ativação do rastreamento de versionamento nos referidos buckets ou políticas frouxas no IAM sem as devidas permissões assumidas pelo S3.","A classe de armazenamento inicial originada no put impossibilita qualquer replicação devido a restrições intrínsecas."
"O mecanismo de replicação intrínseco do Amazon S3 atua, de forma oculta nos bastidores (background process), copiando e integrando assincronamente as mudanças entre os repositórios origem/destino.","03-030 Amazon S3 - Replication",A,Verdadeiro,Falso,,
